Machine_ID,Temperature,Pressure,Vibration,Humidity,Power_Consumption,Failure
10,101.13,152.28,4.57,78.13,371.1,1
20,86.94,151.56,2.4,33.88,288.06,0
22,100.75,124.37,5.87,46.69,416.39,1
19,96.83,115.68,2.15,56.92,262.36,0
46,95.96,162.19,7.32,56.53,329.0,1
18,67.86,122.59,2.99,76.69,295.7,0
40,62.68,129.12,3.81,42.18,289.44,0
38,81.12,155.91,6.11,36.18,379.77,1
24,66.29,92.82,1.45,30.96,320.65,0
8,86.57,175.08,5.97,63.43,274.54,1
21,116.8,156.8,5.86,79.13,314.8,1
28,58.18,84.13,1.82,37.47,215.89,0
10,62.47,105.56,4.7,51.6,264.11,0
22,90.79,173.73,3.2,74.21,260.21,1
16,92.41,136.48,7.54,37.77,344.15,1
5,86.49,127.23,4.62,23.31,244.64,0
37,86.57,125.07,1.97,56.23,274.9,0
25,58.77,124.98,4.77,27.58,248.1,0
20,105.16,158.71,5.23,24.06,254.81,1
1,101.28,136.05,5.44,58.44,364.25,1
4,82.13,111.96,4.94,33.92,167.44,0
19,74.5,134.38,4.47,52.45,236.29,0
46,93.08,100.29,1.97,62.33,333.46,0
35,107.87,162.58,4.89,69.05,323.17,1
21,84.89,115.62,2.02,33.66,298.33,0
50,99.09,160.3,6.63,29.57,298.01,1
46,82.89,174.09,6.52,57.64,237.15,1
14,73.09,111.69,3.6,46.49,240.67,0
24,78.74,88.71,3.3,58.53,258.93,0
40,67.37,107.57,1.87,43.69,233.73,0
48,71.48,111.07,4.9,72.97,307.38,0
39,87.16,183.14,4.14,35.25,287.76,1
41,84.48,119.6,4.67,69.51,283.12,0
50,101.7,173.94,6.86,65.07,352.96,1
16,85.62,132.57,2.58,62.16,308.39,0
22,74.48,135.27,1.57,59.05,232.26,0
9,95.89,166.97,3.0,68.32,262.77,1
21,75.48,146.43,4.17,21.86,245.23,0
49,83.07,116.42,4.18,27.59,291.36,0
29,76.92,127.84,3.66,21.86,273.09,0
9,87.49,95.77,5.25,74.54,213.45,0
40,81.83,139.79,5.51,47.58,276.37,0
2,74.8,137.47,2.91,76.6,226.58,0
11,67.49,115.07,2.61,36.69,252.8,0
41,111.42,155.01,6.22,30.06,305.85,1
24,97.59,144.8,8.31,75.33,279.3,1
12,97.86,167.02,6.26,69.36,269.12,1
24,83.17,132.95,5.38,33.99,286.11,0
25,97.19,158.33,5.01,54.04,304.71,1
6,76.74,130.86,4.0,55.09,321.06,1
9,79.71,156.67,2.86,72.9,242.6,0
39,112.14,155.38,5.49,68.25,354.88,1
24,74.86,119.75,6.5,50.18,220.12,0
8,84.71,148.16,3.21,47.71,199.31,1
39,56.9,124.75,4.07,62.59,235.39,0
50,90.88,132.82,7.01,25.72,290.58,1
